1,94,Bake,67107 Oak Valley Plaza,TRUE,FALSE,TRUE
2,188,Arminger,7 Clyde Gallagher Drive,TRUE,FALSE,FALSE
3,282,Rawles,2232 Valley Edge Hill,TRUE,TRUE,TRUE
4,376,Norgate,91607 Dovetail Pass,TRUE,FALSE,TRUE
5,470,Stoffels,26490 Pine View Road,TRUE,TRUE,TRUE
6,564,Ellul,97 Dunning Terrace,TRUE,FALSE,TRUE
7,658,Gilpin,78 Buena Vista Place,TRUE,TRUE,TRUE
8,752,Corbyn,069 Gateway Place,TRUE,TRUE,TRUE
9,846,Hardstaff,33 Sheridan Center,FALSE,TRUE,TRUE
10,940,Crunkhurn,6 Loftsgordon Terrace,TRUE,TRUE,TRUE
11,1034,Tonner,81 Ruskin Center,FALSE,TRUE,FALSE
12,1128,Ottosen,06027 Bluejay Center,FALSE,TRUE,FALSE
13,1222,Bearham,8890 Dottie Avenue,TRUE,TRUE,TRUE
14,1316,Tufts,371 Becker Park,FALSE,TRUE,TRUE
15,1410,Pude,66 Sutteridge Pass,TRUE,TRUE,TRUE
16,1504,Castro,531 Del Sol Hill,FALSE,TRUE,TRUE
17,1598,Besque,1 2nd Alley,TRUE,TRUE,FALSE
18,1692,Wooler,6238 Esch Terrace,TRUE,TRUE,TRUE
19,1786,Di Biagi,9818 Messerschmidt Pass,FALSE,TRUE,FALSE
20,1880,Treven,553 Declaration Way,FALSE,TRUE,FALSE
21,1974,Suckling,3 Talmadge Park,FALSE,TRUE,TRUE
22,2068,Knewstubb,6 Esch Road,TRUE,TRUE,FALSE
23,2162,Trunchion,15407 Parkside Terrace,TRUE,TRUE,FALSE
24,2256,Streat,9 Stephen Place,FALSE,TRUE,TRUE
25,2350,Da Costa,6385 Walton Parkway,TRUE,FALSE,FALSE
26,2444,Dufer,1 Sutteridge Hill,TRUE,FALSE,TRUE
27,2538,Fold,98938 Bellgrove Avenue,TRUE,FALSE,FALSE
28,2632,Dowbakin,0 Bluestem Crossing,FALSE,FALSE,FALSE
29,2726,Pauleau,291 Lakewood Gardens Avenue,FALSE,TRUE,FALSE
30,2820,Youel,842 Old Shore Circle,TRUE,TRUE,FALSE
31,2914,Pimley,747 Pearson Junction,TRUE,FALSE,FALSE
32,3008,Hember,1 Prairieview Crossing,TRUE,TRUE,TRUE
33,3102,Selwood,75 Scoville Court,TRUE,TRUE,FALSE
34,3196,Budge,0279 Hermina Alley,TRUE,TRUE,TRUE
35,3290,Muckle,6 Pepper Wood Circle,TRUE,FALSE,FALSE
36,3384,Butterwick,21 Oxford Terrace,TRUE,TRUE,FALSE
37,3478,Kirby,6 Riverside Circle,FALSE,FALSE,FALSE
38,3572,Tume,69 Fordem Avenue,TRUE,TRUE,FALSE
39,3666,Krugmann,6723 Esch Terrace,TRUE,TRUE,TRUE
40,3760,Wroe,5943 Norway Maple Place,TRUE,FALSE,TRUE
